Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2250,99,00D0098D9B15,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3393599999999999,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Misligholdt med restværdi,1,2243,103,30155C97D461A7C00092DD53,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3978243423985734,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Misligholdt med restværdi,1,2243,112,30155C97D461A7C00092DDFA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.519964333481944,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2238,122,00D009741367,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6593744414655942,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2234,109,00D009706668,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4852103849597136,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2232,80,00D009707243,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0910394265232974,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2227,104,00D00972CF8D,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.421535698248765,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2225,83,00D0098EAAC6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1355146067415731,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2220,92,00D009985675,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2614774774774775,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2218,104,00D0098EB23C,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4273038773669975,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2218,108,00D0096FBCF8,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.4822001803426512,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2217,85,00D009704AD6,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.1670726206585476,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2216,113,00D0097419EE,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5522202166064984,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2216,91,00D0098D9317,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2500180505415164,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2214,91,00D009720356,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2511472448057814,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2214,118,00D0098EACC3,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.6223667570009035,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2214,93,00D00998B5FF,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2786449864498646,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2213,78,00D009706ACF,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.0728965205603256,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2212,112,00D009703533,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.5412658227848102,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2211,100,00D0099722CA,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.3767526006331978,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2206,109,00D009279776,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.504061650045331,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2204,89,00D00998BC41,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.2292014519056262,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,2201,105,00D0098EA08F,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.452158109950023,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Misligholdt med restværdi,1,2201,102,30155C97D461A7C0007D1544,"PLC, Product detaljeret, Aarhus, Apr. 2023.xlsx",1.410667878237165,T-shirt
