Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Kategori
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1962,87,30155C97D461A7C000D5D076,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1962,123,30155C97D461A7C000D5D857,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1961,7,30155C97D461A7C000EA8E24,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1961,5,30155C97D461A7C000EA9339,Andet
23188 Nederdel Cheans,Alm.slid uden restværdi,1,1961,17,30155C97D461A7C0010A413A,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1958,110,30155C97D461A7C000EA8789,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1958,27,30155C97D461A7C000EA98BB,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1955,96,30155C97D461A7C000EA8907,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1953,14,30155C97D461A7C000D5DBC3,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1953,37,30155C97D461A7C000D5DBFD,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1952,113,30155C97D461A7C000EA873A,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1951,11,30155C97D461A7C000EA8854,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1950,98,30155C97D461A7C000D5DA39,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1950,15,30155C97D461A7C000EA8E53,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1949,10,30155C97D461A7C000D5DA2C,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1949,7,30155C97D461A7C000EA875C,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,1949,19,30155C97D461A7C000D5CF02,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,1949,8,30155C97D461A7C000D5CF52,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,1949,11,30155C97D461A7C000D5CF58,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,1949,15,30155C97D461A7C000EA8E7C,Andet
23180 Tunika da m trykknap Ocean,Udgået Model,1,1949,12,30155C97D461A7C000EA8F3D,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1948,21,30155C97D461A7C000BBD3D2,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1948,16,30155C97D461A7C000BBD4D9,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1948,39,30155C97D461A7C000D5D7C1,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1948,20,30155C97D461A7C000D5D7C5,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1948,37,30155C97D461A7C000EA86FA,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1948,40,30155C97D461A7C000EA87C4,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1948,9,30155C97D461A7C000EA8946,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1948,10,30155C97D461A7C000EA9162,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1947,56,30155C97D461A7C000EA912D,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1947,19,30155C97D461A7C0011A43E9,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1947,7,30155C97D461A7C0011A4420,Andet
