Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Måned,Vask per måned,Kategori
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1587,144,30155C97D461A7C001530F38,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.7620415879017015,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1578,118,30155C97D461A7C0015682E6,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.2762484157160965,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1572,86,30155C97D461A7C001514537,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.6652926208651402,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1531,125,30155C97D461A7C001CB4A12,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.485303723056826,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1504,80,30155C97D461A7C000E883D8,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.619148936170213,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,1485,72,30155C97D461A7C0013C276E,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.475878787878788,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1484,84,30155C97D461A7C000E0834F,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.7230188679245284,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1484,93,30155C97D461A7C000E08461,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.9076280323450134,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1484,93,30155C97D461A7C000E0B3F1,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.9076280323450134,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1480,89,30155C97D461A7C000E08314,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.8305135135135138,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,1479,83,00D00AE389A3,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.7082623394185261,T-shirt
03850 T-Shirt Hvid Lady K/Æ P/B,Alm.slid uden restværdi,1,1477,98,30155C97D461A7C000E07FA7,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.0197156398104266,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,1469,71,30155C97D461A7C001666356,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.4712321307011573,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1454,99,30155C97D461A7C0020A6019,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.0725997248968366,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,1392,65,30155C97D461A7C0016DCF78,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.4214080459770115,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1359,42,30155C97D461A7C002040139,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",0.9407505518763798,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1344,87,30155C97D461A7C002169D6B,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.970446428571429,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1340,18,30155C97D461A7C002169E04,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",0.4088955223880597,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1337,132,30155C97D461A7C002169C4F,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",3.0052954375467467,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1337,101,30155C97D461A7C002169DDA,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",2.2995063575168286,T-shirt
09385 T-Shirt Hvid B/P M Arla Tryk,Alm.slid uden restværdi,1,1336,68,30155C97D461A7C001CBF100,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.5493413173652695,T-shirt
01083 T-Shirt unisex hvid k/æ P/B,Alm.slid uden restværdi,1,1334,55,30155C97D461A7C0020F1862,"PLC, Product detaljeret, Aarhus, Mar. 2023.xlsx",1.2550224887556223,T-shirt
